instance,profile,run,iteration,total_iterations,cost,k,optimal_cost,optimal_k,elapsed,routes
A-n45-k7,NN,1,5,7955,1825.648149451697,7,1146.0,7,0.09430050849914551,"[[0, 26, 34, 20, 7, 16, 13, 44, 0], [0, 4, 6, 8, 38, 9, 10, 5, 0], [0, 35, 21, 17, 36, 23, 42, 0], [0, 39, 28, 33, 19, 37, 30, 0], [0, 18, 40, 25, 15, 1, 43, 0], [0, 2, 12, 31, 27, 11, 24, 14, 0], [0, 32, 22, 29, 41, 3, 0]]"
A-n45-k7,NN,1,19,7955,1761.888856811105,7,1146.0,7,0.2577023506164551,"[[0, 30, 19, 11, 44, 13, 0], [0, 38, 9, 24, 27, 41, 3, 21, 16, 0], [0, 26, 35, 8, 18, 7, 12, 2, 34, 0], [0, 10, 20, 1, 37, 15, 25, 0], [0, 39, 31, 29, 14, 33, 4, 0], [0, 5, 22, 42, 23, 17, 0], [0, 32, 40, 28, 36, 43, 6, 0]]"
A-n45-k7,NN,1,108,7955,1743.3801728058902,7,1146.0,7,1.2810847759246826,"[[0, 25, 10, 22, 5, 34, 32, 0], [0, 14, 6, 35, 26, 4, 21, 12, 0], [0, 16, 8, 38, 40, 7, 20, 18, 15, 13, 0], [0, 9, 24, 33, 44, 11, 0], [0, 2, 39, 41, 36, 37, 23, 42, 3, 0], [0, 28, 43, 27, 19, 30, 0], [0, 17, 1, 31, 29, 0]]"
A-n45-k7,NN,1,138,7955,1657.9721050387845,7,1146.0,7,1.6388084888458252,"[[0, 10, 33, 30, 28, 6, 26, 0], [0, 2, 34, 35, 24, 44, 9, 0], [0, 21, 25, 15, 42, 5, 22, 40, 0], [0, 8, 13, 18, 14, 39, 12, 4, 0], [0, 36, 37, 1, 23, 17, 7, 0], [0, 32, 27, 19, 31, 29, 0], [0, 11, 43, 41, 3, 38, 20, 16, 0]]"
A-n45-k7,NN,1,4982,7955,1646.322059359425,7,1146.0,7,58.17041039466858,"[[0, 17, 23, 15, 42, 25, 1, 0], [0, 39, 32, 9, 8, 16, 20, 13, 18, 7, 40, 0], [0, 35, 26, 34, 12, 3, 0], [0, 4, 2, 21, 14, 33, 44, 0], [0, 22, 36, 41, 24, 27, 0], [0, 38, 10, 5, 43, 11, 28, 37, 0], [0, 29, 19, 31, 30, 6, 0]]"
A-n45-k7,NN,1,5990,7955,1645.9738092201135,7,1146.0,7,69.78595161437988,"[[0, 39, 12, 35, 21, 44, 14, 0], [0, 32, 9, 2, 29, 19, 22, 0], [0, 18, 7, 16, 20, 34, 4, 13, 0], [0, 28, 24, 36, 31, 33, 8, 38, 0], [0, 1, 17, 25, 23, 42, 15, 0], [0, 6, 3, 41, 11, 43, 27, 0], [0, 37, 30, 5, 10, 40, 26, 0]]"
A-n45-k7,NN,2,0,7955,1867.6341723707524,7,1146.0,7,0.01646876335144043,"[[0, 2, 26, 9, 15, 23, 42, 5, 0], [0, 20, 30, 3, 35, 21, 39, 0], [0, 24, 14, 44, 11, 43, 7, 0], [0, 12, 8, 25, 10, 27, 41, 13, 18, 0], [0, 40, 32, 16, 38, 17, 4, 0], [0, 28, 19, 31, 36, 22, 0], [0, 33, 34, 1, 37, 29, 6, 0]]"
A-n45-k7,NN,2,3,7955,1844.7675193664493,7,1146.0,7,0.06332945823669434,"[[0, 28, 2, 13, 18, 8, 19, 33, 31, 0], [0, 30, 24, 44, 14, 21, 26, 0], [0, 12, 39, 10, 22, 5, 0], [0, 7, 40, 32, 16, 20, 38, 9, 34, 0], [0, 6, 4, 11, 41, 37, 17, 0], [0, 25, 42, 3, 43, 27, 1, 0], [0, 35, 23, 15, 29, 36, 0]]"
A-n45-k7,NN,2,5,7955,1826.138333170482,7,1146.0,7,0.09389066696166992,"[[0, 35, 8, 37, 42, 23, 17, 7, 16, 0], [0, 21, 34, 41, 30, 19, 27, 0], [0, 39, 2, 13, 26, 9, 5, 22, 14, 0], [0, 12, 3, 28, 36, 29, 0], [0, 32, 20, 18, 10, 44, 0], [0, 1, 15, 25, 40, 38, 4, 24, 0], [0, 31, 33, 43, 11, 6, 0]]"
A-n45-k7,NN,2,10,7955,1785.0090480380793,7,1146.0,7,0.1537797451019287,"[[0, 35, 38, 8, 14, 41, 33, 24, 39, 0], [0, 32, 9, 21, 37, 30, 18, 13, 25, 0], [0, 27, 36, 10, 16, 7, 20, 0], [0, 40, 23, 19, 44, 5, 0], [0, 12, 43, 11, 31, 29, 0], [0, 26, 34, 3, 6, 28, 4, 2, 0], [0, 42, 15, 17, 1, 22, 0]]"
A-n45-k7,NN,2,13,7955,1730.6636283818405,7,1146.0,7,0.19056391716003418,"[[0, 15, 25, 10, 37, 22, 0], [0, 14, 17, 13, 40, 20, 16, 7, 18, 0], [0, 2, 43, 11, 26, 34, 35, 0], [0, 30, 19, 29, 36, 0], [0, 8, 38, 24, 3, 41, 27, 44, 0], [0, 32, 5, 23, 42, 33, 21, 9, 0], [0, 28, 31, 1, 6, 4, 12, 39, 0]]"
A-n45-k7,NN,2,34,7955,1661.0669420103645,7,1146.0,7,0.43559741973876953,"[[0, 1, 37, 19, 30, 22, 0], [0, 31, 10, 14, 33, 41, 27, 6, 0], [0, 2, 26, 34, 43, 44, 35, 0], [0, 7, 25, 23, 42, 15, 20, 16, 38, 40, 0], [0, 8, 17, 29, 5, 36, 9, 0], [0, 39, 24, 11, 3, 18, 13, 0], [0, 28, 32, 12, 4, 21, 0]]"
A-n45-k7,NN,2,1667,7955,1656.6624285536782,7,1146.0,7,19.542768001556396,"[[0, 28, 24, 3, 27, 33, 0], [0, 21, 20, 15, 2, 4, 6, 11, 0], [0, 35, 38, 42, 10, 23, 17, 0], [0, 9, 14, 31, 19, 5, 22, 40, 0], [0, 25, 1, 36, 29, 41, 43, 0], [0, 32, 13, 16, 18, 7, 34, 26, 0], [0, 39, 8, 37, 30, 44, 12, 0]]"
A-n45-k7,NN,2,2861,7955,1632.608207243307,7,1146.0,7,33.39044547080994,"[[0, 41, 27, 44, 3, 2, 26, 39, 0], [0, 9, 15, 23, 17, 25, 0], [0, 13, 38, 20, 18, 35, 4, 6, 21, 0], [0, 40, 7, 16, 5, 37, 1, 14, 22, 0], [0, 10, 42, 30, 36, 43, 0], [0, 32, 8, 29, 19, 24, 34, 0], [0, 28, 31, 33, 11, 12, 0]]"
A-n45-k7,NN,3,0,7955,1846.8935788644171,7,1146.0,7,0.016713857650756836,"[[0, 39, 5, 20, 36, 10, 35, 0], [0, 12, 2, 26, 34, 4, 13, 9, 38, 8, 0], [0, 21, 24, 33, 40, 42, 28, 3, 0], [0, 18, 32, 14, 31, 1, 37, 25, 7, 0], [0, 16, 22, 30, 29, 19, 0], [0, 44, 27, 11, 43, 41, 0], [0, 6, 17, 23, 15, 0]]"
A-n45-k7,NN,3,2,7955,1841.44114990287,8,1146.0,7,0.048644304275512695,"[[0, 20, 30, 36, 43, 41, 40, 16, 38, 0], [0, 39, 4, 37, 35, 34, 2, 0], [0, 28, 6, 26, 21, 27, 31, 9, 0], [0, 1, 42, 15, 25, 23, 17, 0], [0, 13, 32, 14, 10, 8, 24, 11, 0], [0, 3, 44, 19, 33, 0], [0, 18, 7, 29, 5, 22, 0], [0, 12, 0]]"
A-n45-k7,NN,3,11,7955,1778.2430524984534,7,1146.0,7,0.17302489280700684,"[[0, 24, 44, 34, 35, 21, 13, 0], [0, 11, 3, 41, 31, 37, 9, 10, 0], [0, 1, 36, 43, 19, 30, 0], [0, 8, 38, 18, 39, 2, 12, 26, 6, 5, 14, 0], [0, 32, 33, 27, 29, 28, 0], [0, 7, 40, 16, 20, 15, 42, 25, 4, 0], [0, 17, 23, 22, 0]]"
A-n45-k7,NN,3,38,7955,1723.1039883281255,7,1146.0,7,0.5016365051269531,"[[0, 39, 4, 9, 24, 44, 0], [0, 32, 18, 40, 7, 10, 1, 42, 0], [0, 2, 38, 15, 23, 25, 30, 37, 21, 0], [0, 34, 6, 28, 5, 36, 8, 13, 12, 0], [0, 14, 19, 27, 29, 33, 0], [0, 16, 20, 22, 3, 11, 43, 0], [0, 35, 26, 31, 41, 17, 0]]"
A-n45-k7,NN,3,59,7955,1712.0104788035776,7,1146.0,7,0.7650275230407715,"[[0, 17, 23, 38, 16, 20, 7, 42, 0], [0, 18, 34, 28, 6, 24, 26, 0], [0, 14, 30, 37, 5, 36, 3, 2, 0], [0, 12, 31, 33, 9, 8, 35, 21, 0], [0, 4, 27, 19, 1, 25, 40, 0], [0, 39, 13, 32, 10, 22, 15, 0], [0, 11, 41, 29, 43, 44, 0]]"
A-n45-k7,NN,3,144,7955,1709.643053476739,7,1146.0,7,1.8560855388641357,"[[0, 14, 24, 3, 6, 34, 21, 4, 0], [0, 43, 27, 29, 19, 0], [0, 22, 33, 41, 44, 38, 8, 42, 0], [0, 12, 13, 7, 1, 37, 15, 25, 0], [0, 32, 16, 20, 31, 36, 10, 5, 0], [0, 39, 26, 35, 9, 18, 2, 0], [0, 40, 17, 23, 30, 11, 28, 0]]"
A-n45-k7,NN,3,456,7955,1702.2140497860146,7,1146.0,7,5.682327508926392,"[[0, 23, 25, 33, 36, 5, 0], [0, 40, 27, 30, 22, 24, 0], [0, 14, 44, 16, 38, 17, 39, 4, 0], [0, 32, 26, 34, 21, 35, 18, 0], [0, 2, 9, 8, 10, 42, 15, 1, 37, 0], [0, 12, 6, 3, 31, 29, 7, 20, 13, 0], [0, 11, 41, 19, 43, 28, 0]]"
